"id","wave","exp_self","exp_household","exp_family","exp_relations","y"
1293747059,1,1,1,1,4,3
1291725927,1,1,1,1,1,3
1286443653,1,1,1,1,1,1
1293753143,1,1,1,1,5,1
1292034429,1,1,2,NA,NA,1
1291937665,1,1,2,1,1,4
1293231081,1,1,1,1,1,1
1289021961,1,1,1,1,1,1
1293230955,1,1,1,1,4,1
1293764517,1,NA,NA,NA,NA,NA
1291718449,1,1,2,2,1,3
1293459237,1,1,1,1,1,1
1293382385,1,1,1,1,1,3
1293459175,1,1,1,1,1,1
1293305175,1,1,1,1,1,5
1292077549,1,1,1,5,5,1
1293459067,1,1,1,1,4,1
1291760765,1,NA,2,1,3,4
1293382311,1,1,1,1,1,1
1293451555,1,1,1,1,1,1
1293451627,1,1,1,1,1,2
1293534213,1,1,1,1,1,4
1293235129,1,NA,NA,NA,NA,4
1293305071,1,1,1,1,3,1
1288861213,1,1,1,1,1,5
1293814493,1,1,1,1,1,3
1293459241,1,1,1,1,1,3
1293888203,1,1,1,1,3,4
1293451621,1,1,1,1,1,1
1293814485,1,1,1,2,1,5
1293679597,1,1,1,1,1,1
1293943621,1,1,1,1,3,4
1293554023,1,1,1,1,1,1
1293941705,1,1,1,1,1,NA
1291076195,1,1,1,2,NA,1
1293886525,1,1,1,1,1,1
1293958467,1,1,1,1,1,3
1293850361,1,1,1,1,NA,1
1293814431,1,1,1,1,1,4
1293941795,1,1,1,2,2,3
1293851329,1,1,1,1,1,1
1293849143,1,1,1,1,1,2
1293887263,1,2,NA,NA,NA,4
1293814465,1,1,1,1,1,4
1293962593,1,2,1,1,1,1
1293850381,1,1,1,1,1,1
1293886965,1,1,2,1,3,3
1293996693,1,NA,NA,NA,NA,1
1293995239,1,1,1,1,1,1
1294026351,1,1,1,1,1,1
1294025511,1,1,1,1,1,5
1293307861,1,3,3,3,3,3
1293941751,1,1,1,1,1,1
1294053125,1,1,1,1,NA,2
1293814475,1,1,1,1,4,5
1293962019,1,1,1,1,1,1
1293887309,1,1,1,1,1,5
1294059705,1,1,1,4,3,2
1294126967,1,1,1,1,NA,2
1293943039,1,1,1,1,2,1
1293943455,1,1,NA,NA,NA,4
1293588733,1,1,1,1,1,4
1294059681,1,NA,NA,NA,NA,3
1293996705,1,1,1,1,1,2
1293850383,1,1,1,2,NA,1
1293850911,1,2,2,3,2,1
1293995399,1,1,1,1,1,3
1293961993,1,1,1,1,1,3
1293962001,1,1,1,1,1,3
1293678701,1,1,1,1,1,3
1293459157,1,1,1,1,5,1
1293850371,1,1,1,1,1,4
1293962029,1,NA,NA,NA,1,4
1294085691,1,1,1,2,1,2
1293235047,1,NA,NA,NA,NA,1
1293850999,1,1,1,1,1,3
1293941791,1,NA,NA,NA,NA,NA
1293850345,1,1,1,1,5,3
1294094857,1,1,1,1,3,2
1293451631,1,1,1,1,1,1
1294126973,1,1,1,1,1,1
1293850333,1,1,1,1,1,1
1294025033,1,1,NA,NA,NA,3
1293850507,1,1,1,1,1,1
1293887293,1,1,1,1,1,1
1293451617,1,1,1,1,2,1
1293638421,1,1,1,1,3,1
1289021923,1,1,1,1,1,2
1293231001,1,1,1,1,1,2
1294422857,1,NA,NA,NA,NA,3
1293850743,1,1,1,1,1,4
1293962121,1,NA,NA,NA,NA,3
1293962637,1,1,1,1,1,1
1294385741,1,1,1,1,1,3
1294025077,1,2,1,1,1,5
1294059695,1,1,1,1,1,2
1293813387,1,1,1,1,2,2
1293814439,1,1,1,1,4,5
1270984455,1,1,1,1,1,5
1293850697,1,NA,NA,NA,NA,3
1294209993,1,1,1,1,1,3
1293961989,1,3,2,2,2,3
1293814411,1,1,2,2,3,4
1293679579,1,1,1,1,1,1
1293996725,1,1,1,1,1,NA
1294059691,1,1,1,1,1,NA
1293961615,1,1,1,1,1,2
1293849597,1,1,1,1,5,1
1293815489,1,1,1,5,NA,5
1293814435,1,1,1,3,NA,2
1294597843,1,1,1,1,1,4
1293813861,1,1,1,1,1,2
1293815395,1,3,1,1,1,1
1294158589,1,1,1,1,1,5
1292073471,1,1,1,1,1,NA
1293998065,1,1,1,1,1,1
1293886545,1,1,2,2,3,5
1293231113,1,1,1,1,1,1
1295233297,1,1,1,1,1,1
1293887277,1,1,1,1,1,3
1293941723,1,1,1,1,1,3
1295285621,1,1,1,1,1,2
1293378947,1,NA,1,1,NA,2
1293850379,1,1,1,1,1,1
1293961995,1,1,1,2,1,1
1293813761,1,1,1,1,1,5
1295373679,1,1,1,1,1,1
1293941775,1,1,1,1,1,1
1295342893,1,1,1,1,1,2
1295373671,1,1,1,1,1,1
1290932923,1,1,1,1,4,1
1293961991,1,1,1,1,4,1
1294059847,1,1,1,1,1,3
1293588685,1,1,1,1,1,1
1294025079,1,1,1,1,1,2
1293850373,1,2,1,1,3,1
1295434823,1,1,1,1,1,1
1295446045,1,1,1,1,1,2
1295434829,1,1,1,1,1,1
1295545143,1,NA,NA,NA,NA,NA
1293812271,1,1,1,1,1,3
1293887311,1,1,1,1,1,2
1295552841,1,1,1,3,3,1
1293961999,1,1,1,1,1,2
1293887577,1,3,3,2,NA,3
1293850795,1,1,1,1,1,4
1293962533,1,1,1,NA,NA,2
1293997795,1,1,1,1,1,3
1293814423,1,2,1,1,1,1
1293638507,1,1,1,1,2,2
1293937671,1,1,1,1,1,4
1293996721,1,1,1,1,3,4
1295434749,1,1,1,1,1,1
1295651433,1,1,1,1,1,4
1294023885,1,4,4,NA,5,1
1293940113,1,1,1,1,1,4
1295687531,1,1,1,1,1,2
1293887265,1,1,1,1,1,2
1288999657,1,1,1,1,1,2
1294209989,1,1,1,2,1,3
1293942899,1,1,1,1,1,1
1293533931,1,1,1,1,1,NA
1295342913,1,1,1,1,1,3
1293812429,1,NA,NA,NA,NA,3
1295692039,1,NA,NA,NA,NA,1
1294059701,1,1,1,1,2,1
