"id","wave","y","health","gender","age","edu","hinc"
"1291388569",1,3,4,1,29,6,NA
"1291405521",1,2,4,1,24,2,1
"1291406037",1,3,3,2,31,2,4
"1290988685",1,1,3,2,54,3,3
"1291407747",1,1,5,2,76,5,8
"1291408431",1,1,3,2,71,4,3
"1290988807",1,2,3,2,69,7,NA
"1291121527",1,3,3,1,57,6,NA
"1291030783",1,1,3,2,63,1,5
"1289856879",1,2,3,1,56,4,10
"1291084131",1,1,2,2,61,7,3
"1291451557",1,1,2,2,68,4,2
"1289251915",1,1,4,2,72,4,3
"1291284453",1,3,4,1,26,6,3
"1291121933",1,1,5,1,25,7,3
"1291489707",1,1,5,2,42,3,9
"1291502871",1,1,3,1,24,6,1
"1291040775",1,2,3,1,18,NA,NA
"1291030779",1,1,5,2,72,2,5
"1291030761",1,1,3,1,70,2,4
"1290933455",1,3,5,1,54,8,NA
"1291163721",1,1,3,2,30,7,2
"1291040459",1,5,4,2,68,8,10
"1290988667",1,2,5,1,57,4,8
"1291539979",1,3,5,2,64,4,6
"1289685429",1,5,2,2,79,6,4
"1291127911",1,1,4,2,26,1,8
"1291582047",1,2,4,1,24,6,1
"1290981885",1,3,5,2,46,4,3
"1291597013",1,1,4,1,36,6,NA
"1291084947",1,1,4,1,32,7,1
"1290939265",1,4,4,1,45,5,NA
"1291030755",1,5,5,2,71,7,5
"1291076681",1,2,3,1,41,6,NA
"1291207011",1,5,5,1,55,NA,NA
"1291121439",1,3,5,2,45,4,7
"1291524753",1,5,5,2,74,6,5
"1291627721",1,4,4,1,75,1,NA
"1288861133",1,5,4,1,76,5,4
"1290981637",1,2,5,2,67,4,6
"1291587135",1,2,4,2,66,6,NA
"1291665661",1,2,4,1,30,7,3
"1291621007",1,2,4,1,68,6,5
"1291300631",1,3,4,1,46,6,4
"1290988677",1,5,3,2,69,4,2
"1291489835",1,1,5,2,54,4,11
"1291524465",1,1,3,1,66,6,3
"1291127173",1,3,2,1,36,7,2
"1291736639",1,2,4,1,23,2,1
"1291029483",1,4,5,1,56,2,5
"1291718313",1,2,3,2,52,4,4
"1291671605",1,3,NA,1,42,NA,NA
"1290939283",1,3,4,1,65,6,5
"1291127871",1,1,5,1,77,4,2
"1291621005",1,1,3,1,67,1,NA
"1291408459",1,2,NA,1,76,6,6
"1291725929",1,1,3,1,73,2,3
"1289500667",1,2,5,2,75,1,4
"1291671751",1,5,3,1,69,5,2
"1290938751",1,1,4,2,45,7,7
"1290987503",1,3,5,2,48,6,11
"1291030733",1,1,4,1,50,6,8
"1291587063",1,1,5,2,70,6,8
"1291725723",1,3,4,1,54,5,8
"1289895921",1,3,4,1,26,6,4
"1291798373",1,4,4,2,24,5,7
"1291541347",1,1,NA,2,22,2,3
"1291582773",1,2,5,1,47,6,5
"1291765799",1,4,2,1,55,1,9
"1291084817",1,1,3,1,42,6,7
"1291805491",1,1,3,2,32,7,3
"1290988527",1,1,2,1,51,7,NA
"1291771169",1,1,3,2,24,1,NA
"1291825173",1,1,3,1,71,7,7
"1291859463",1,3,5,2,27,3,NA
"1289767875",1,1,5,2,62,6,6
"1291671749",1,1,4,1,75,6,7
"1291621003",1,3,4,1,61,7,11
"1291760755",1,2,3,2,54,4,4
"1291408485",1,1,4,2,44,7,11
"1291216071",1,2,4,1,42,6,9
"1291785739",1,1,4,2,62,4,7
"1291040415",1,NA,5,1,60,6,NA
"1289251913",1,3,4,1,61,6,NA
"1291040373",1,1,4,1,67,6,NA
"1291163535",1,5,4,2,56,6,6
"1290933241",1,3,3,2,51,4,3
"1291030351",1,2,5,2,53,6,6
"1291216383",1,3,5,1,63,6,6
"1291489831",1,2,4,2,67,6,10
"1291984245",1,3,NA,1,34,5,3
"1291766081",1,1,1,1,66,6,2
"1291766077",1,2,4,2,72,6,6
"1289500637",1,4,3,1,66,5,3
"1290988699",1,4,3,1,20,5,NA
"1291973573",1,4,5,1,73,6,3
"1291621001",1,1,4,1,68,6,8
"1292073371",1,1,4,1,43,4,4
"1292034615",1,1,1,2,55,7,11
"1292073469",1,5,5,2,25,2,NA
"1291040773",1,1,3,1,63,6,3
"1291171003",1,1,5,2,57,4,3
"1291206649",1,4,4,2,60,1,7
"1291586773",1,1,2,2,66,4,NA
"1291984915",1,1,4,2,60,7,11
"1292076677",1,5,4,1,20,2,NA
"1291760699",1,2,3,2,38,4,7
"1291216535",1,2,4,2,63,5,6
"1292116169",1,5,5,1,71,7,7
"1292034609",1,1,5,2,72,7,7
"1292126145",1,NA,4,2,62,6,NA
"1292116167",1,3,4,1,50,7,NA
"1292166927",1,1,4,2,25,6,3
"1291933507",1,2,4,2,43,4,6
"1290988653",1,3,3,1,74,5,2
"1292073391",1,2,4,2,45,5,8
"1291127517",1,NA,4,1,48,4,10
"1289895923",1,4,4,1,43,5,8
"1292073291",1,1,2,1,59,7,3
"1291489447",1,1,4,1,38,1,3
"1289059173",1,3,4,2,41,6,8
"1292126713",1,3,4,2,69,4,NA
"1292381075",1,1,5,1,65,7,NA
"1291170999",1,2,3,2,22,2,11
"1292899921",1,1,3,1,47,5,NA
"1293011879",1,2,4,2,24,4,4
"1293157475",1,3,4,2,29,6,2
"1293157321",1,2,3,1,27,6,3
"1290888837",1,3,4,1,70,4,2
"1292073499",1,1,3,2,56,4,9
"1288914305",1,1,4,2,52,6,10
"1289585867",1,1,3,2,38,5,9
"1291216263",1,1,4,1,59,6,4
"1291077003",1,1,4,1,25,2,3
"1293083961",1,1,4,1,56,6,8
"1291163723",1,5,3,2,54,4,6
"1293451105",1,1,4,2,20,2,9
"1291206793",1,2,3,2,42,7,11
"1291937661",1,4,5,2,77,6,7
"1293503933",1,1,4,2,57,6,5
"1290879691",1,1,4,2,74,5,4
"1291806121",1,3,4,2,64,7,7
"1291171441",1,4,4,2,61,5,7
"1291368363",1,4,2,2,65,6,4
"1293159553",1,1,NA,2,50,6,NA
"1291671619",1,1,4,2,42,1,5
"1291232005",1,2,4,1,37,6,8
"1291539785",1,1,4,2,71,4,NA
"1291524391",1,1,4,2,60,7,11
"1292126723",1,5,4,2,76,6,4
"1291076425",1,3,5,1,40,5,8
"1292162105",1,3,4,1,69,6,NA
"1291937509",1,3,3,1,52,5,3
"1291170193",1,3,4,1,29,7,4
"1291337155",1,4,3,2,77,4,3
"1293747059",1,3,4,2,24,2,2
"1291725927",1,3,4,2,51,4,NA
"1286443653",1,1,4,2,32,3,2
"1293753143",1,1,4,2,37,6,2
"1292034429",1,1,2,2,58,1,6
"1291937665",1,4,3,1,74,6,5
"1293231081",1,1,4,2,39,5,8
"1289021961",1,1,5,1,19,1,NA
"1293230955",1,1,4,2,63,4,9
"1293764517",1,NA,4,1,76,6,6
"1291718449",1,3,4,1,18,1,7
"1293459237",1,1,4,2,33,7,11
"1293382385",1,3,4,2,40,4,4
"1293459175",1,1,5,2,61,1,9
"1293305175",1,5,4,2,58,7,8
"1292077549",1,1,5,1,27,4,4
"1293459067",1,1,4,1,58,7,5
"1291760765",1,4,4,2,58,3,4
"1293382311",1,1,5,2,67,7,9
"1293451555",1,1,5,2,53,4,8
"1293451627",1,2,5,1,40,6,2
"1293534213",1,4,5,1,24,6,4
"1293235129",1,4,5,1,63,6,8
"1293305071",1,1,4,2,36,6,8
"1288861213",1,5,5,1,47,3,NA
"1293814493",1,3,4,1,53,6,3
"1293459241",1,3,2,1,56,4,3
"1293888203",1,4,4,2,39,6,6
"1293451621",1,1,3,2,77,4,3
"1293814485",1,5,4,1,64,6,8
"1293679597",1,1,4,2,54,1,8
"1293943621",1,4,4,2,53,7,7
"1293554023",1,1,4,1,69,5,5
"1293941705",1,NA,2,1,54,6,NA
"1291076195",1,1,4,2,56,6,NA
"1293886525",1,1,5,2,34,7,11
"1293958467",1,3,5,2,71,1,3
"1293850361",1,1,3,1,37,2,NA
"1293814431",1,4,4,1,33,6,7
"1293941795",1,3,4,2,54,7,7
"1293851329",1,1,5,2,50,4,NA
"1293849143",1,2,3,1,39,1,2
"1293887263",1,4,3,2,68,4,2
"1293814465",1,4,3,1,24,2,NA
"1293962593",1,1,3,1,50,6,3
"1293850381",1,1,5,2,46,7,11
"1293886965",1,3,4,1,37,7,11
"1293996693",1,1,4,2,76,1,5
"1293995239",1,1,3,2,47,6,4
"1294026351",1,1,4,1,41,2,NA
"1294025511",1,5,4,1,66,6,4
"1293307861",1,3,3,2,45,7,4
"1293941751",1,1,3,1,39,1,6
"1294053125",1,2,3,1,62,2,2
"1293814475",1,5,4,1,72,NA,4
"1293962019",1,1,4,1,70,6,3
"1293887309",1,5,4,1,69,6,2
"1294059705",1,2,3,1,62,5,11
"1294126967",1,2,5,2,54,6,8
"1293943039",1,1,5,2,38,6,8
"1293943455",1,4,3,2,52,6,9
"1293588733",1,4,4,1,46,5,7
"1294059681",1,3,5,1,52,5,6
"1293996705",1,2,3,1,48,4,NA
"1293850383",1,1,4,1,69,6,3
"1293850911",1,1,5,2,36,7,11
"1293995399",1,3,5,2,61,3,6
"1293961993",1,3,3,1,55,4,4
"1293962001",1,3,4,1,28,6,8
"1293678701",1,3,5,1,64,6,10
"1293459157",1,1,4,1,48,4,11
"1293850371",1,4,4,1,44,7,11
"1293962029",1,4,4,2,57,6,11
"1294085691",1,2,4,2,48,1,4
"1293235047",1,1,5,1,72,7,NA
"1293850999",1,3,4,1,69,4,3
"1293941791",1,NA,4,1,84,6,4
"1293850345",1,3,5,1,37,6,9
"1294094857",1,2,5,1,19,1,NA
"1293451631",1,1,4,1,60,5,NA
"1294126973",1,1,2,1,48,6,5
"1293850333",1,1,5,1,35,7,8
"1294025033",1,3,4,2,54,4,7
"1293850507",1,1,3,1,36,4,5
"1293887293",1,1,5,2,63,4,8
"1293451617",1,1,3,2,53,3,4
"1293638421",1,1,4,1,71,7,4
"1289021923",1,2,5,1,80,4,6
"1293231001",1,2,4,1,72,6,5
"1294422857",1,3,4,1,48,1,3
"1293850743",1,4,4,1,48,7,NA
"1293962121",1,3,3,1,50,4,3
"1293962637",1,1,4,2,51,3,4
"1294385741",1,3,4,2,73,7,11
"1294025077",1,5,5,1,39,6,5
"1294059695",1,2,4,2,50,4,3
"1293813387",1,2,4,2,39,6,4
"1293814439",1,5,4,1,58,6,9
"1270984455",1,5,3,1,75,5,3
"1293850697",1,3,4,1,56,7,11
"1294209993",1,3,1,2,39,4,NA
"1293961989",1,3,3,2,62,4,NA
"1293814411",1,4,2,1,65,6,3
"1293679579",1,1,4,1,44,5,NA
"1293996725",1,NA,3,1,57,NA,NA
"1294059691",1,NA,5,1,73,6,3
"1293961615",1,2,2,2,45,3,2
"1293849597",1,1,5,2,48,4,7
"1293815489",1,5,3,2,44,5,2
"1293814435",1,2,4,1,24,6,11
"1294597843",1,4,3,2,64,4,8
"1293813861",1,2,3,1,42,5,6
"1293815395",1,1,4,2,55,6,NA
"1294158589",1,5,4,1,52,7,NA
"1292073471",1,NA,3,2,44,2,8
"1293998065",1,1,4,2,64,6,11
"1293886545",1,5,3,2,52,7,NA
"1293231113",1,1,2,1,65,4,2
"1295233297",1,1,4,1,39,3,3
"1293887277",1,3,4,1,41,7,9
"1293941723",1,3,4,1,70,7,3
"1295285621",1,2,4,1,56,4,5
"1293378947",1,2,4,1,36,2,3
"1293850379",1,1,4,2,62,6,NA
"1293961995",1,1,5,1,59,6,6
"1293813761",1,5,5,1,67,1,6
"1295373679",1,1,4,2,49,4,7
"1293941775",1,1,4,2,51,6,NA
"1295342893",1,2,4,2,57,5,5
"1295373671",1,1,4,2,62,4,5
"1290932923",1,1,4,2,56,7,NA
"1293961991",1,1,5,1,60,5,11
"1294059847",1,3,3,1,52,5,3
"1293588685",1,1,5,2,55,6,6
"1294025079",1,2,4,1,69,6,8
"1293850373",1,1,5,1,47,4,9
"1295434823",1,1,5,1,37,4,3
"1295446045",1,2,4,2,55,4,9
"1295434829",1,1,5,2,54,7,11
"1295545143",1,NA,NA,1,54,NA,NA
"1293812271",1,3,4,1,68,6,6
"1293887311",1,2,4,1,64,6,4
"1295552841",1,1,3,1,63,4,2
"1293961999",1,2,5,1,68,1,2
"1293887577",1,3,4,1,54,4,8
"1293850795",1,4,4,1,76,6,NA
"1293962533",1,2,3,1,45,2,NA
"1293997795",1,3,3,1,73,1,2
"1293814423",1,1,2,2,61,6,3
"1293638507",1,2,4,2,58,7,NA
"1293937671",1,4,4,1,55,4,8
"1293996721",1,4,4,1,44,6,3
"1295434749",1,1,4,2,74,6,4
"1295651433",1,4,3,1,51,6,4
"1294023885",1,1,3,2,33,8,8
"1293940113",1,4,4,1,61,4,7
"1295687531",1,2,5,2,25,2,3
"1293887265",1,2,3,2,63,7,NA
"1288999657",1,2,3,1,33,4,4
"1294209989",1,3,3,1,47,7,4
"1293942899",1,1,5,2,45,6,5
"1293533931",1,NA,3,2,74,1,4
"1295342913",1,3,3,2,71,4,3
"1293812429",1,3,5,1,42,4,NA
"1295692039",1,1,5,1,61,6,9
"1294059701",1,1,5,2,57,7,5
"1293996737",1,2,4,2,52,1,3
"1293814409",1,2,2,1,66,7,5
"1293996747",1,4,3,1,63,5,3
"1291163527",1,1,4,2,40,6,5
"1295778839",1,4,4,2,76,6,6
"1295673643",1,3,2,1,65,7,3
"1295829199",1,2,4,2,57,5,11
"1291663301",1,1,4,1,62,2,6
"1293850355",1,4,4,2,23,2,NA
"1293996313",1,1,4,2,48,7,9
"1295697973",1,1,4,2,59,6,6
"1293887281",1,1,4,1,30,4,5
"1291831133",1,1,3,1,36,4,4
"1293850359",1,5,5,1,51,4,6
"1293962011",1,2,4,1,50,6,9
"1293887275",1,2,4,1,65,7,4
"1293814491",1,2,4,2,61,7,11
"1293996699",1,1,5,1,50,6,10
"1293814731",1,1,5,2,53,4,7
"1296004697",1,2,5,2,46,4,8
"1293888223",1,5,5,2,60,7,3
"1289723693",1,1,5,1,36,5,8
"1296051499",1,3,3,2,33,1,6
"1295997547",1,5,4,1,44,4,NA
"1296084367",1,2,4,1,34,6,6
"1295342899",1,3,4,2,42,2,NA
"1293942297",1,2,5,1,56,6,NA
"1293887283",1,3,5,1,69,6,8
"1296127797",1,1,3,1,55,4,8
"1293814427",1,1,5,2,44,7,7
"1295498851",1,1,5,2,72,6,5
"1296128379",1,4,4,2,73,1,5
"1296121847",1,5,3,2,65,4,6
"1296063129",1,1,5,1,27,6,4
"1296158719",1,1,3,1,44,6,8
"1296163403",1,2,4,1,48,5,10
"1296157963",1,3,5,1,63,6,7
"1295997549",1,3,4,1,59,4,11
"1294025081",1,3,4,1,50,1,4
"1296196605",1,2,4,2,71,1,3
"1296188567",1,3,4,2,49,2,NA
"1296201509",1,2,4,2,36,7,11
"1295342909",1,1,5,2,41,7,7
"1296121841",1,1,5,1,70,1,3
"1296243345",1,1,4,2,20,2,2
"1295373665",1,1,3,1,57,4,9
"1293812663",1,3,3,2,24,6,3
"1296188569",1,3,4,2,37,6,8
"1296279935",1,3,2,2,51,4,5
"1296234029",1,1,4,1,41,4,3
"1296246671",1,1,4,2,62,4,6
"1296082017",1,4,3,1,42,1,5
"1289600411",1,1,5,1,35,7,4
"1293814949",1,1,5,2,42,4,8
"1296280013",1,4,4,1,39,7,11
"1296289565",1,1,4,1,67,6,7
"1296376673",1,2,5,1,42,4,3
"1296365649",1,3,5,2,36,3,NA
"1296188643",1,2,2,1,50,6,11
"1293888033",1,2,4,1,38,6,3
"1296319213",1,5,4,2,42,5,10
"1293996741",1,4,5,2,57,6,8
"1296201515",1,3,5,1,66,5,NA
"1296330769",1,4,4,2,47,4,8
"1296444369",1,4,5,1,19,2,NA
"1296289573",1,3,4,2,32,6,4
"1296459599",1,1,4,2,35,7,NA
"1296330835",1,1,3,2,50,7,NA
"1296188651",1,1,4,2,24,2,2
"1293850387",1,3,4,1,50,5,10
"1296457583",1,2,5,2,44,7,11
"1296493851",1,2,5,2,52,2,11
"1296289571",1,3,4,2,56,4,NA
"1296496313",1,2,4,2,20,3,1
"1296535025",1,NA,NA,2,53,5,NA
"1296319147",1,2,5,1,23,2,NA
"1296037707",1,4,4,2,43,6,10
"1296531345",1,3,4,2,47,5,3
"1291887787",1,NA,4,1,67,5,NA
"1296319151",1,3,4,1,44,7,3
"1296537831",1,1,2,2,52,4,3
"1296574565",1,2,4,1,48,5,4
"1296537839",1,3,4,2,55,6,8
"1295342895",1,4,5,1,63,3,NA
"1296590645",1,4,3,1,34,5,5
"1296574559",1,1,4,2,54,6,NA
"1296537833",1,NA,3,1,61,6,NA
"1296246673",1,5,3,2,33,6,4
"1296121867",1,1,5,2,28,7,2
"1296590647",1,3,3,1,73,4,NA
"1296457567",1,1,4,2,39,8,11
"1295392467",1,5,4,1,33,6,4
"1296621005",1,1,5,2,36,2,7
"1296449801",1,3,2,1,39,1,4
"1296873223",1,4,5,1,32,1,4
"1295602765",1,1,2,2,42,1,3
"1296620873",1,2,5,2,39,8,11
"1296449809",1,2,5,1,29,7,NA
"1296574537",1,1,4,2,42,6,5
"1296246647",1,NA,3,1,71,1,6
"1297352241",1,3,4,2,38,7,11
"1296409037",1,NA,5,1,34,2,NA
"1296142049",1,1,3,1,64,6,3
"1296188645",1,1,4,2,49,6,11
"1293851343",1,1,5,2,41,6,11
"1295673593",1,4,4,1,21,2,1
"1296531333",1,2,4,1,73,1,NA
"1297505081",1,4,3,1,70,6,NA
"1297504893",1,2,2,1,48,4,2
"1296279995",1,2,4,2,78,4,3
"1293851349",1,1,4,2,52,5,11
"1297645307",1,1,2,1,34,1,NA
"1293235051",1,NA,4,1,82,6,NA
"1297719529",1,1,3,1,32,6,8
"1296037721",1,1,NA,2,41,NA,NA
"1297648231",1,2,4,1,48,7,11
"1297776737",1,3,5,1,24,2,NA
"1297440665",1,3,4,1,58,2,8
"1296378433",1,3,5,1,54,6,5
"1297629025",1,2,4,1,25,7,4
"1296246657",1,2,5,1,43,8,8
"1293997343",1,1,3,2,56,5,11
"1296063121",1,2,3,1,30,5,2
"1296006607",1,1,3,1,63,6,3
"1289849591",1,4,3,2,80,4,4
"1296496305",1,1,5,1,71,5,3
"1298191897",1,1,4,2,68,6,7
"1296246649",1,2,5,2,52,4,10
"1296489811",1,3,5,1,42,5,6
"1298263559",1,4,3,2,71,4,3
"1298628601",1,1,4,2,24,6,8
"1296590643",1,2,4,2,44,4,4
"1296531343",1,3,5,1,64,6,5
"1296457679",1,1,3,2,34,6,4
"1296537849",1,1,4,1,39,4,6
"1296409015",1,1,4,2,42,6,5
"1293997203",1,3,5,2,38,4,NA
"1296537859",1,2,4,1,55,6,5
"1298891523",1,1,4,2,43,8,10
"1298738323",1,2,5,2,54,6,10
"1298926845",1,3,4,2,52,4,NA
"1296590541",1,3,4,2,45,5,11
"1298825785",1,4,4,2,74,7,8
"1298926839",1,1,3,1,54,4,NA
"1296280001",1,3,4,1,60,6,NA
"1299064299",1,3,4,2,37,3,NA
"1296620997",1,1,4,2,33,4,5
"1298628815",1,1,3,2,37,1,4
